time,sub,run,FS-left-amygdala,FS-right-amygdala
6,pixar131,run-01,0.092231,-0.5747046
7,pixar131,run-01,0.29162714,-0.24222758
8,pixar131,run-01,0.14886278,-0.10213668
9,pixar131,run-01,0.2105778,-0.097806714
10,pixar131,run-01,0.19851187,-0.21906355
11,pixar131,run-01,0.74976504,0.25501877
12,pixar131,run-01,0.60152394,0.39027318
13,pixar131,run-01,0.38743922,0.042269547
14,pixar131,run-01,0.27490693,-0.7082297
15,pixar131,run-01,-0.08646389,-0.31448194
16,pixar131,run-01,0.05532078,0.027013693
17,pixar131,run-01,0.23472196,0.5663238
18,pixar131,run-01,0.32034865,0.18830296
19,pixar131,run-01,0.67962277,0.27910775
20,pixar131,run-01,0.34124985,0.18498959
21,pixar131,run-01,0.6448364,0.5900733
22,pixar131,run-01,0.5233813,0.38219908
23,pixar131,run-01,0.5915967,0.5413225
24,pixar131,run-01,0.22993053,-0.13711496
25,pixar131,run-01,-0.101380944,-0.62899095
26,pixar131,run-01,-0.29250678,-0.40303653
27,pixar131,run-01,-0.018015984,-0.23808447
28,pixar131,run-01,0.56839645,0.25906533
29,pixar131,run-01,0.5592011,0.19485545
30,pixar131,run-01,0.6273663,0.654163
31,pixar131,run-01,0.54360193,0.60568947
32,pixar131,run-01,0.9767313,0.85704404
33,pixar131,run-01,1.1148034,0.8882691
34,pixar131,run-01,0.6082253,0.43807024
35,pixar131,run-01,0.6329292,-0.07070811
36,pixar131,run-01,0.3180632,0.3615846
37,pixar131,run-01,0.77087843,0.38093287
38,pixar131,run-01,0.7644643,0.69092953
39,pixar131,run-01,0.74357224,0.5918273
40,pixar131,run-01,0.6884569,0.71301496
41,pixar131,run-01,1.1342871,0.63505507
42,pixar131,run-01,1.1849402,0.94177496
43,pixar131,run-01,1.4209422,0.9869956
44,pixar131,run-01,0.9260672,0.87233627
45,pixar131,run-01,0.99220866,1.168957
46,pixar131,run-01,0.94974244,0.97595394
47,pixar131,run-01,1.0899019,0.6189378
48,pixar131,run-01,0.81563896,0.3599212
49,pixar131,run-01,0.65939265,0.5764844
50,pixar131,run-01,0.39478686,-0.040971857
51,pixar131,run-01,0.7523445,0.3700289
52,pixar131,run-01,0.6711049,0.37132317
53,pixar131,run-01,0.58693177,0.25644752
54,pixar131,run-01,0.7741216,0.5160243
55,pixar131,run-01,1.0641971,0.72665966
56,pixar131,run-01,0.99389875,0.7819697
57,pixar131,run-01,1.0119925,0.8170396
58,pixar131,run-01,0.99266195,0.82189846
59,pixar131,run-01,0.94107836,0.9224096
60,pixar131,run-01,1.194232,0.970808
61,pixar131,run-01,1.1777022,1.2115012
